"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"_T";"Total"
"AGE";"Âge";"Y15T24";"De 15 à 24 ans "
"AGE";"Âge";"Y15T89";"De 15 à 89 ans"
"AGE";"Âge";"Y25T49";"De 25 à 49 ans"
"AGE";"Âge";"Y50T64";"De 50 à 64 ans "
"AGE";"Âge";"Y65T89";"De 65 à 89 ans "
"AGE";"Âge";"Y25T29";"De 25 à 29 ans"
"AGE";"Âge";"Y30T34";"De 30 à 34 ans"
"AGE";"Âge";"Y60T64";"De 60 à 64 ans"
"AGE";"Âge";"Y35T39";"De 35 à 39 ans"
"AGE";"Âge";"Y15T19";"De 15 à 19 ans"
"AGE";"Âge";"Y65T69";"De 65 à 69 ans"
"AGE";"Âge";"Y40T44";"De 40 à 44 ans"
"AGE";"Âge";"Y70T74";"De 70 à 74 ans"
"AGE";"Âge";"Y45T49";"De 45 à 49 ans"
"AGE";"Âge";"Y15T64";"De 15 à 64 ans"
"AGE";"Âge";"Y_GE75";"75 ans ou plus"
"AGE";"Âge";"Y50T54";"De 50 à 54 ans"
"AGE";"Âge";"Y20T24";"De 20 à 24 ans"
"AGE";"Âge";"Y55T59";"De 55 à 59 ans"
"AGE";"Âge";"Y55T64";"De 55 à 64 ans"
"AGE";"Âge";"Y_GE50";"50 ans ou plus "
"AGE";"Âge";"Y_GE15";"15 ans ou plus"
"AGE";"Âge";"Y_GE65";"65 ans ou plus"
"AGE";"Âge";"Y15T29";"De 15 à 29 ans"
"AGE";"Âge";"_T";"Total"
"COMPOHALO";"Composante du halo du chômage";"1";"Recherche un emploi, mais n’est pas disponible"
"COMPOHALO";"Composante du halo du chômage";"3";"Souhaite un emploi, mais n'en recherche pas et n’est pas disponible"
"COMPOHALO";"Composante du halo du chômage";"2";"Disponible pour prendre un emploi, mais n'en recherche pas"
"COMPOHALO";"Composante du halo du chômage";"_T";"Total"
"EDUC";"Diplôme";"EEC6T8";"Diplôme supérieur"
"EDUC";"Diplôme";"EEC4T5";"Baccalauréat + 2 ans"
"EDUC";"Diplôme";"EEC3";"Baccalauréat ou brevet professionnel"
"EDUC";"Diplôme";"EEC2";"CAP, BEP ou autre diplôme de ce niveau"
"EDUC";"Diplôme";"EEC0T1";"Aucun diplôme, CEP ou brevet des collèges"
"EDUC";"Diplôme";"_T";"Total"
"EEC_MEASURE";"Indicateurs";"PT_EDUC_IN_POP_BY_SEX_AGE";"Part du diplôme dans la population par sexe et âge"
"EEC_MEASURE";"Indicateurs";"POP_EDUC";"Population dont le diplôme est connu"
"EEC_MEASURE";"Indicateurs";"ACTPOP";"Population active"
"EEC_MEASURE";"Indicateurs";"ACTRATE";"Taux d’activité"
"EEC_MEASURE";"Indicateurs";"EMP";"Population en emploi"
"EEC_MEASURE";"Indicateurs";"PT_PCS_IN_EMP_BY_SEX_AGE";"Part de la PCS dans l’emploi par sexe et âge"
"EEC_MEASURE";"Indicateurs";"EMP_EDUC";"Population en emploi dont le diplôme est connu"
"EEC_MEASURE";"Indicateurs";"PT_EDUC_IN_EMP_BY_SEX_AGE";"Part du diplôme dans l’emploi par sexe et âge"
"EEC_MEASURE";"Indicateurs";"EMPRATE";"Taux d’emploi"
"EEC_MEASURE";"Indicateurs";"EMPRATE_EDUC";"Taux d’emploi où le diplôme est connu"
"EEC_MEASURE";"Indicateurs";"UNEMP";"Chômeurs"
"EEC_MEASURE";"Indicateurs";"UNEMPRATE";"Taux de chômage"
"EEC_MEASURE";"Indicateurs";"UNEMP_EDUC";"Nombre de chômeurs dont le diplôme est connu"
"EEC_MEASURE";"Indicateurs";"UNEMPRATE_EDUC";"Taux de chômage des personnes dont le diplôme des connu"
"EEC_MEASURE";"Indicateurs";"PT_UNEMPDUR_IN_UNEMP";"Part de la durée dans le chômage"
"EEC_MEASURE";"Indicateurs";"HALO";"Personnes dans le halo autour du chômage"
"EEC_MEASURE";"Indicateurs";"PT_SEX_AGE_IN_HALO";"Part du sexe et de l’âge dans les personnes dans le halo autour du chômage recherchant un emploi mais non disponibles"
"EEC_MEASURE";"Indicateurs";"NEET";"Nombre de jeunes ni en emploi ni en formation"
"EEC_MEASURE";"Indicateurs";"PT_SEX_AGE_IN_NEET";"Part du sexe et de l’âge dans le nombre de jeunes ni en emploi ni en formation"
"EEC_MEASURE";"Indicateurs";"UNDEREMP";"Population en sous-emploi"
"EEC_MEASURE";"Indicateurs";"PT_UNDEREMP_SEX_AGE_IN_EMP";"Part du sous-emploi, du sexe et de l’âge dans l’emploi total"
